phenotype1	phenotype2	lin
Limited neck range of motion	Decreased serum leptin	4.7877152157943535e-05
Calcium oxalate nephrolithiasis	Hypertrophied muscle fibers	4.475678658742209e-05
Synovial hypertrophy	Reduced natural killer cell count	4.7365940235228194e-05
Restrictive behavior	Agenesis of permanent molar	4.63062709617351e-05
Supranuclear ophthalmoplegia	Long palpebral fissure	5.624696041050741e-05
Tegumentary leishmaniasis susceptibility	Double inlet right ventricle	3.993272169545075e-05
Deformed rib cage	Aplasia of the ulna	0.10912828165354484
Bilateral postaxial polydactyly	Scalp tenderness	8.650813128311028e-05
Bifid ribs	Question mark ear	4.513091349926087e-05
Insulin-resistant diabetes mellitus at puberty	High iliac wing	4.1527089114850486e-05
Selective tooth agenesis	Colonic eosinophilia	5.17666923135561e-05
Severe demyelination of the white matter	Unilateral facial palsy	0.12085255294692972
Rib exostoses	Extrapyramidal dyskinesia	4.63062709617351e-05
Nocturia	Ulnar claw	5.018735786356822e-05
Undetectable electroretinogram	Beta-cell dysfunction	4.920200344776741e-05
Migraine with aura	Short femoral neck	6.222433540919858e-05
Hypoplasia of the frontal bone	Cerebellar Purkinje layer atrophy	8.650813128311028e-05
Multiple small vertebral fractures	Increased circulating interleukin 10 concentration	4.1527089114850486e-05
Preaxial hand polydactyly	Pancreatic pseudocyst	4.908842810983609e-05
Spastic tetraplegia	Increased urinary 11-deoxycorticosterone level	0.00016377770291403995
Hypometric horizontal saccades	Onychogryposis of toenails	4.384100649655963e-05
Juvenile cataract	Respiratory paralysis	4.7877152157943535e-05
Mixed demyelinating and axonal polyneuropathy	Decreased carnitine level in liver	3.993272169545075e-05
Papillary thyroid carcinoma	Chronic pulmonary obstruction	5.406232789246244e-05
Progressive external ophthalmoplegia	Decreased levels of alpha-fetoprotein	4.818212141725109e-05
Adrenocortical hypoplasia	Abnormal sacral segmentation	3.993272169545075e-05
Agoraphobia	Increased CSF homovanillic acid concentration	0.06511481220502778
Stiff interphalangeal joints	Subcutaneous spheroids	4.1527089114850486e-05
Osteoarthritis of the elbow	Absent ossification of calvaria	0.19277538074698986
Oligohydramnios	Bilateral tonic-clonic seizure on awakening	5.8034398621410633e-05
Microcolon	Abnormal vertebral segmentation and fusion	4.676934355271362e-05
Ph-positive acute lymphoblastic leukemia	Meningeal calcification	3.993272169545075e-05
Bilateral radial aplasia	Hypoplasia of the antihelix	8.650813128311028e-05
Recurrent encephalopathy	Increased circulating IgG3 level	4.1527089114850486e-05
Chronic oral candidiasis	Asterixis	0.00011286086210161102
Erysipelas	Restless legs	4.63062709617351e-05
Hematemesis	Lacrimal gland hypoplasia	4.897141782007609e-05
Achalasia	Short lower limbs	5.535724358328559e-05
Absent speech	Palmoplantar hyperhidrosis	7.291341444820274e-05
Deficiency of N-acetylglucosamine-1-phosphotransferase	Increased alpha-globulin	0.14231902903222202
Spondyloepiphyseal dysplasia	Undetectable visual evoked potentials	5.510074585337536e-05
Loss of speech	Macronodular adrenal hyperplasia	4.94196762868381e-05
Limited knee extension	Leukocyte inclusion bodies	4.803278487698834e-05
Rotary nystagmus	Progressive proximal muscle weakness	5.164509580017892e-05
Frontal cortical atrophy	Oligoarthritis	4.846394887683536e-05
Iritis	Hypoglycemic encephalopathy	4.325406564155514e-05
Hyperkinetic movements	Lower cranial nerve dysfunction	0.2359883829735484
Platelet antibody positive	Generalized hypotrichosis	4.433252921306609e-05
Decreased circulating total IgA	Generalized lymphadenopathy	0.21834105164327255
Intention tremor	Proximal upper limb amyotrophy	5.8051117890037634e-05
Refractory anemia	Temporal lobe calcification	4.1527089114850486e-05
Refractory anemia	Decreased intestinal transit time	4.325406564155514e-05
Hypercalciuria	Scimitar anomaly	5.243282297039292e-05
Papillary thyroid carcinoma	Neonatal hyperbilirubinemia	5.139110160925746e-05
Dystrophic fingernails	Cardiogenic shock	5.060226372522096e-05
Medullary thyroid carcinoma	Small intestine carcinoid	0.5920979656386599
Increased laxity of ankles	Adrenocorticotropic hormone deficiency	4.1527089114850486e-05
Pancreatic cysts	Recurrent subcortical infarcts	4.8726132196001617e-05
Hepatocellular carcinoma	Stage 5 chronic kidney disease	7.052950380577304e-05
Respiratory failure	Maternal diabetes	5.995061791894048e-05
Persistence of primary teeth	Cerebral berry aneurysm	5.34030760017027e-05
Congenital nonbullous ichthyosiform erythroderma	Onychomycosis	5.7377265143775286e-05
Nonprogressive cerebellar ataxia	Myopic astigmatism	4.754448578692532e-05
Pseudobulbar behavioral symptoms	Hyperpigmented papule	8.650813128311028e-05
Sparse body hair	Reduced carnitine O-palmitoyltransferase level	0.00012051018798269027
Hashimoto thyroiditis	Median cleft lip and palate	5.292067144038486e-05
Leukocoria	Accessory spleen	5.3526348262195045e-05
Narrow chest	Heinz body anemia	5.395247933631802e-05
Lower thoracic kyphosis	Ectopic posterior pituitary	4.433252921306609e-05
Delayed eruption of primary teeth	Anti-U1 ribonucleoprotein antibody positivity	4.6048912897620735e-05
Type II lissencephaly	Absent tonsils	4.8971417820076086e-05
Progressive spastic paraplegia	Prolonged somatosensory evoked potentials	0.08316694285098551
Microdontia of primary teeth	Middle cerebral artery stenosis	4.325406564155514e-05
Hypoplasia of right ventricle	Intrinsic hand muscle atrophy	4.982193529809303e-05
Redundant neck skin	Aplasia of the nasal bone	0.11504789988932274
Increased axial length of the globe	Mild malformation of cortical development	9.435605386316377e-05
Cerebral cortical neurodegeneration	Dysuria	4.2520165072717376e-05
Acute hyperammonemia	Quadricuspid aortic valve	4.1527089114850486e-05
Hypoplasia of proximal radius	Arcuate scotoma	8.650813128311028e-05
Hepatic periportal necrosis	Beau's lines	3.993272169545075e-05
Photophobia	Anterior plagiocephaly	6.0220737686329105e-05
Annular pancreas	Secondary growth hormone deficiency	0.0001072135125263395
Decreased circulating ACTH level	Pilonidal sinus	4.7877152157943535e-05
Congenital kyphoscoliosis	Large earlobe	4.818212141725109e-05
EMG: chronic denervation signs	Talipes calcaneovarus	4.5466147121112386e-05
Mild postnatal growth retardation	White forelock	5.344453059754979e-05
Cessation of head growth	Myocardial sarcomeric disarray	4.1527089114850486e-05
Progressive distal muscular atrophy	Reduced sperm motility	5.222176751133226e-05
Renal salt wasting	Eosinophilic granuloma	4.7365940235228194e-05
Abnormality of primary molar morphology	Migrating focal seizure	3.993272169545075e-05
Paralytic ileus	Elevated aldolase level	9.093229424222477e-05
Multiple pterygia	Blind-spot enlargment	4.577027209409902e-05
Prelingual sensorineural hearing impairment	Pleomorphic xanthoastrocytoma	4.676934355271362e-05
Angina pectoris	Cavernous hemangioma of the face	0.1619070475688535
Episodic respiratory distress	Cartilaginous ossification of larynx	0.4106229431563506
Ulnar bowing	Severe photosensitivity	4.787715215794353e-05
Lethal skeletal dysplasia	Abnormality of the sphenoid sinus	0.21658923187140144
Cortical sclerosis	Unilateral external ear deformity	4.1527089114850486e-05
Thrombocytosis	Acute myelomonocytic leukemia	0.25933082937431917
Hyperorality	Hypoplasia of the cochlea	4.846394887683536e-05
Premature loss of permanent teeth	Reduced lysosomal acid lipase activity	4.384100649655963e-05
Reduced factor XII activity	Jejunal atresia	5.018735786356822e-05
Nasal congestion	Decreased serum insulin-like growth factor 1	5.391529164214543e-05
Syringomyelia	Grade III vesicoureteral reflux	4.7365940235228194e-05
Lacrimal gland aplasia	Thick hair	4.8463948876835354e-05
Thiamine-responsive megaloblastic anemia	Bowing of the vocal cords	4.1527089114850486e-05
Costal cartilage calcification	Chromosomal breakage induced by ionizing radiation	4.325406564155514e-05
Coxa magna	Unilateral primary pulmonary dysgenesis	4.1527089114850486e-05
Generalized hypotrichosis	Hypoplastic pelvis	5.000878978756325e-05
Abnormal caudate nucleus morphology	Chemosis	4.5130913499260864e-05
Cranial nerve motor loss	Abnormal alpha granule content	3.993272169545075e-05
Amelogenesis imperfecta	Severe generalized osteoporosis	0.10928200158269485
Episodic hemolytic anemia	Elevated mean arterial pressure	4.1527089114850486e-05
Sudden loss of visual acuity	Dilated third ventricle	9.719461910870474e-05
Decreased circulating progesterone	Hyperautofluorescent macular lesion	4.577027209409902e-05
Choroid plexus cyst	Progressive macrocephaly	5.164509580017892e-05
Reticular retinal dystrophy	Upbeat nystagmus	0.09980963184584374
Hypoplastic left heart	Furuncle	4.972512993112043e-05
Madelung deformity	Congenital megaureter	4.384100649655963e-05
Blepharophimosis	Oligohydramnios	8.374672813511794e-05
Malignant hyperthermia	Crowded maxillary incisors	4.697961363490384e-05
Decreased circulating ACTH level	Peripheral visual field loss	5.34030760017027e-05
Multiple palmar creases	Hydromyelia	4.1527089114850486e-05
Sacral dimple	Absence of acoustic reflex	5.6200064933990284e-05
Large hands	Sudden cardiac death	6.7472996567598e-05
Lobulated tongue	Decreased female libido	0.00011156653281398589
Hypoplasia of the vagina	Scaling skin on fingertip	9.435605386316377e-05
Pseudopapilledema	Cerebral arteriovenous malformation	4.846394887683536e-05
Myopathic facies	Hypercalciuria	6.734452701384356e-05
Intermittent hypothermia	Dry hair	5.000878978756325e-05
Elevated amniotic fluid alpha-fetoprotein	Decreased activity of mitochondrial complex I	0.18576785220913386
Palpitations	Vascular ring	0.18295169102982484
High pitched voice	Posterior pharyngeal cleft	5.035839919835104e-05
Nonketotic hypoglycemia	Varicocele	4.433252921306609e-05
Waddling gait	Post-vaccination measles	5.7224164935115654e-05
Pleuritis	Facial paralysis	5.139110160925746e-05
Narrow forehead	Progressive distal muscle weakness	6.035700793129114e-05
Bulbous nose	Pituitary hypothyroidism	6.18818435589896e-05
Low frustration tolerance	Pseudohypoaldosteronism	5.139110160925746e-05
Delayed eruption of primary teeth	Oculomotor nerve palsy	4.818212141725109e-05
IgA deposition in the glomerulus	Generalized arterial tortuosity	4.754448578692532e-05
Hepatosplenomegaly	Recurrent bronchiolitis	0.2525029632979055
Easy fatigability	Large iliac wing	0.07417640333446128
Single umbilical artery	Stage 4 chronic kidney disease	0.00012890196686090094
Folate-unresponsive megaloblastic anemia	Aortic isthmus hypoplasia	3.993272169545075e-05
Loss of voice	Elevated serum transaminases during infections	4.513091349926087e-05
Reduced von Willebrand factor activity	Impaired neutrophil chemotaxis	0.24083302832009937
Elbow flexion contracture	Myxomatous mitral valve degeneration	5.843809228034253e-05
Ureterocele	Hair-pulling	4.577027209409902e-05
Bell-shaped thorax	Sterile abscess	5.164509580017892e-05
Hypoplasia of the uterus	Microdontia of primary teeth	5.5216373639454305e-05
Chronic bronchitis	Hypoplastic pelvis	5.9986548001061865e-05
Stage 5 chronic kidney disease	Stiff elbow	5.434348495495776e-05
Equinovarus deformity	Left ventricular diastolic dysfunction	4.63062709617351e-05
Myelin outfoldings	Inferior cerebellar vermis hypoplasia	0.14678780442094608
Thrombocytosis	Hypoalbuminemia	6.669435530370716e-05
Neuropathic spinal arthropathy	Tongue thrusting	4.63062709617351e-05
Paroxysmal dystonia	Aortic arch calcification	4.5130913499260864e-05
Decreased beta-glucocerebrosidase level	Long nasal bridge	4.384100649655963e-05
Transient hyperphenylalaninemia	Hyperpigmented papule	9.093229424222477e-05
Increased serum pyruvate	Deposits immunoreactive to beta-amyloid protein	5.097926599079281e-05
Pointed chin	Tonic pupil	5.767111740559029e-05
Severe recurrent varicella	Acute megakaryocytic leukemia	0.19328251696833032
Premature birth following premature rupture of fetal membranes	Testicular fibrosis	7.98654433909015e-05
Clitoral hypoplasia	Increased factor IX activity	4.577027209409902e-05
Hypermethioninemia	Lower eyelid retraction	4.5130913499260864e-05
Impaired gluconeogenesis	Left aortic arch with cervical origin of the right subclavian artery	4.2520165072717376e-05
Personality changes	Redundant neck skin	6.109654304671778e-05
Decreased CSF homovanillic acid concentration	Increased factor VIII activity	4.325406564155514e-05
Abnormal speech discrimination	Reduced glutathione synthetase level	4.433252921306609e-05
Lack of insight	Recurrent infections in infancy and early childhood	4.433252921306609e-05
Pectoralis hypoplasia	EBV meningitis	4.1527089114850486e-05
Pyropoikilocytosis	Oppositional defiant disorder	4.513091349926087e-05
Acute kidney injury	Decreased acid ceramidase activity	4.654557084673223e-05
Hypoplasia of olfactory tract	Levator palpebrae superioris atrophy	4.1527089114850486e-05
Amyoplasia	Myelin outfoldings	4.754448578692532e-05
Uterine leiomyosarcoma	Delayed fine motor development	5.200013425095543e-05
Multiple pterygia	Sebaceous gland carcinoma	0.17186191920096122
Osteosarcoma	Renal angiomyolipoma	0.5381958524761303
Neuropathic arthropathy	Large vessel vasculitis	4.325406564155514e-05
Recurrent Klebsiella infections	Episodic tachypnea	4.972512993112043e-05
Urinary hesitancy	Interphalangeal joint erosions	4.433252921306609e-05
Decreased CSF homovanillic acid concentration	Ectopic pregnancy	9.435605386316377e-05
Decreased HDL cholesterol concentration	Compensated hemolytic anemia	5.08325315417379e-05
Limited elbow extension and supination	Decerebrate rigidity	0.061376614402834026
Antegonial notching of mandible	Marcus Gunn pupil	4.1527089114850486e-05
Failure of eruption of permanent teeth	Skeletal muscle fibrosis	9.093229424222477e-05
Progressive night blindness	Dependency on intravenous nutrition	9.093229424222477e-05
Narrow nose	Common carotid artery aneurysm	4.885073886735671e-05
Erysipelas	Impaired renal ltubular reabsorption of chloride	4.433252921306609e-05
Impaired oxidative burst	Long nasal bridge	5.018735786356822e-05
Congenital fibrosis of extraocular muscles	Nasogastric tube feeding	5.18262354732069e-05
Lumbar kyphoscoliosis	Dislocation of the femoral head	0.09879094683662894
Synophrys	Hammertoe	7.912530828092897e-05
Multiple gastric polyps	Retinoblastoma	0.35067421354927336
Milia	Pilomatrixoma	0.18768408650440813
Long face	Violent behavior	5.846917057817124e-05
Diffuse reticular or finely nodular infiltrations	Poor fine motor coordination	4.818212141725109e-05
Acute monocytic leukemia	Peripheral arteriovenous fistula	9.093229424222477e-05
Large tarsal bones	Radially deviated wrists	0.12362394938845812
Crystalline corneal dystrophy	Ciliary dyskinesia	4.96259101477913e-05
Xerostomia	Cervical C2/C3 vertebral fusion	5.498236436259655e-05
Madelung deformity	Elevated hepcidin level	4.384100649655963e-05
Pulmonary artery atresia	Cerebellopontine angle arachnoid cyst	0.00012051018798269027
Square face	Rib exostoses	4.952414116553883e-05
Urinary hesitancy	Multiple small vertebral fractures	4.433252921306609e-05
Motor deterioration	Lymphocytic interstitial pneumonia	4.754448578692532e-05
Lack of spontaneous play	Arachnodactyly	6.479613287233184e-05
Meconium ileus	Increased red blood cell count	9.435605386316377e-05
Fibular aplasia	Delayed umbilical cord separation	5.2731814525986136e-05
Thick skull base	Partial albinism	4.63062709617351e-05
Elevated diastolic blood pressure	Proximal femoral epiphysiolysis	4.433252921306609e-05
